Region,MainSourceofIncome,AgriculturalHouseholdindicator,ImputedHouseRentalValue,HouseholdHeadSex,HouseholdHeadAge,HouseholdHeadMaritalStatus,HouseholdHeadHighestGradeCompleted,HouseholdHeadJoborBusinessIndicator,HouseholdHeadOccupation,HouseholdHeadClassofWorker,TypeofHousehold,TotalNumberofFamilymembers,Memberswithagelessthan5yearold,Memberswithage517yearsold,Totalnumberoffamilymembersemployed,Electricity,MainSourceofWaterSupply,TotalMovableAssests,Dependants,HouseSpacePerPerson,MovableMerchPerPerson,TotalNecessaryExpenditure,TotalUnnecessaryExpenditure,CurrentTaxPaid,PredNecessaryExp,PredUnnecessaryExp,AdjustedTax
12,1,0,198000,0,74,5,14,0,359,2,0,2,0,1,0,1,3,4,2,375.0,2.0,26585,42617,29246.600000000002,72889.19928113131,60708.555386839216,24359.14859111859
15,2,0,24000,1,50,2,40,0,359,2,1,5,0,0,5,1,3,11,0,15.6,2.2,70707,164199,64070.5,105762.6522887214,134924.124966691,81736.37821675779
9,2,2,39000,1,45,2,36,1,38,4,0,4,0,0,1,1,3,12,3,7.5,3.0,71195,47468,4621.6,84845.49294374978,119716.34191132154,6521.042268493552
6,2,0,27000,1,50,2,35,1,302,3,0,8,1,1,3,1,4,13,5,7.5,1.625,112050,71806,42735.0,129551.79119807419,130536.08770327597,43059.68799358772
6,2,0,54000,1,55,2,0,0,359,2,1,3,0,1,1,1,3,12,2,40.0,4.0,113190,161800,77239.5,81337.33940131209,108329.7637109185,102872.02465359363
8,1,2,13200,1,58,2,41,1,55,4,0,8,1,3,1,1,3,9,7,4.0,1.125,91168,49592,7498.8,115499.66773005064,77947.8438237222,5060.753011268181
12,2,0,0,1,48,2,7,1,239,4,1,5,0,2,1,1,3,16,4,12.0,3.2,104695,118835,14200.0,114654.18970711874,136222.27053452778,16871.221597148426
11,0,0,15000,1,52,2,21,1,30,4,1,7,0,5,1,1,5,1,6,10.142857142857142,0.14285714285714285,129343,58519,3498.6000000000004,99832.57046333139,4407.818968304635,154.47058380786478
4,2,0,10200,1,63,2,43,1,287,0,0,6,0,0,3,1,4,10,3,12.0,1.6666666666666667,105604,84769,34812.75,109137.67879431005,108036.39851025036,34461.46348160927
6,1,0,36000,1,62,2,11,1,28,3,0,6,1,3,1,1,3,7,5,10.0,1.1666666666666667,155943,56551,13536.400000000001,97746.98155439798,55423.39510647504,7675.257420627054
3,1,0,60000,1,35,2,21,1,204,4,1,4,1,1,1,1,3,17,3,125.0,4.25,60413,92190,81770.75,103085.37778214137,146125.43462007755,115911.5544807144
9,0,2,30000,1,49,2,35,1,179,1,0,9,1,0,3,1,3,15,6,4.0,1.6666666666666667,105595,174424,455660.8,145438.36531313026,152926.93335247098,479122.6073182672
1,2,0,40800,1,29,2,42,1,32,4,1,5,2,1,1,1,3,7,4,11.0,1.4,137614,59107,20923.0,77059.58824408043,76197.2136254764,20688.850498864584
3,2,0,24000,1,48,2,5,1,38,4,1,7,0,3,4,1,4,5,3,14.285714285714286,0.7142857142857143,93840,89131,6967.200000000001,102727.51472943972,81202.45434725628,5507.324317328879
11,0,0,10800,1,49,2,21,1,119,4,1,4,0,1,1,1,4,6,3,17.5,1.5,285709,95100,128675.5,85627.48774809015,50818.57073105871,76366.89070385805
3,2,0,54000,1,65,2,21,0,359,2,0,5,1,0,2,1,3,17,3,15.0,3.4,84894,97545,113084.25,108575.23295257868,146580.79424112555,152668.14291249763
14,2,0,33000,1,58,2,42,1,314,4,1,3,0,1,2,1,3,6,1,50.0,2.0,51741,52118,15544.800000000001,79932.47023086321,76116.69121482664,14802.729581343247
5,2,0,27000,1,46,2,21,1,180,4,0,7,1,0,3,1,3,6,4,3.857142857142857,0.8571428571428571,102147,106605,34389.5,99324.14539490732,81751.76066815341,28305.32457459847
6,2,0,0,1,28,2,8,1,28,4,0,5,2,0,3,1,3,8,2,5.0,1.6,80056,67460,7198.400000000001,79319.94304112319,93896.96608251109,8521.286006192988
5,1,0,33000,1,62,2,42,0,359,2,1,2,0,0,0,1,3,11,2,48.0,5.5,46260,32804,1781.6000000000001,66493.2884797894,74108.92210813327,1985.6508626127197
5,2,0,84000,1,65,2,4,0,359,2,0,9,2,1,4,1,3,23,5,11.11111111111111,2.5555555555555554,181089,280272,-1392632.96,152363.03969936311,172244.49457639238,-1574353.9955551827
5,1,0,24000,1,55,2,14,1,103,4,0,7,0,3,1,1,4,7,6,85.71428571428571,1.0,90258,65624,7785.6,109938.83685097312,58850.48400401713,4167.647588292819
5,2,0,78000,1,59,2,6,1,103,4,0,8,0,1,3,1,3,11,5,7.5,1.375,194879,107389,42537.5,126103.73463720166,121035.09896542532,40827.74024935912
4,1,0,60000,1,62,2,35,1,293,4,1,1,0,0,4,1,3,13,-3,90.0,13.0,87096,117292,112892.5,49853.63310163931,116649.24405069892,264149.7512758103
10,0,0,39000,1,53,2,36,1,128,0,0,4,1,0,0,1,3,9,4,15.0,2.25,104084,85165,15240.0,86818.59666411315,61867.04390580416,10860.043646779977
6,1,0,54000,1,71,2,10,1,128,1,0,6,1,1,2,1,3,17,4,7.0,2.8333333333333335,154244,156137,379214.19999999995,127360.27028311307,148499.771794628,442156.89897722437
4,1,0,18000,1,52,2,35,1,68,0,1,3,0,1,2,1,3,6,1,63.0,2.0,80051,120436,172330.9,74899.91895733628,71613.43209856695,164769.29985284232
