CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,,,,,,,,,,,,,,
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,86,10,59.9,-0.7,30.0,0.0,30.0,-1.0,81.4,1.0,82.0,-2.0,61.2,-1.6,56.4,-2.5,80.6,-0.8,72.5,0.0,55.0,0.0,50.0,0.0,8.8,30.0,30.0,7.8,24.5,Burkina Faso,15.0,$22.0,5.6,5.1,"$1,466 ",N/A,2.8,$7.4,29.4,,,,,,,,,,,,,,,
25,Burma,Burma,Asia-Pacific,172,40,39.2,0.5,10.0,0.0,15.0,1.0,81.9,-0.1,96.8,0.8,20.0,0.0,20.0,0.0,65.1,3.9,73.6,0.0,0.0,0.0,10.0,0.0,3.2,30.0,30.0,3.2,10.4,Burma,62.4,$82.7,5.5,6.3,"$1,325 ",5.5,4.2,$850.0,44.3,,,,,,,,,,,,,,,
26,Burundi,Burundi,Sub-Saharan Africa,148,34,49.0,0.9,20.0,0.0,19.0,1.0,71.5,-0.7,22.6,-0.3,58.4,12.3,66.4,-0.8,68.7,-2.2,78.9,0.0,55.0,0.0,30.0,0.0,5.5,35.0,35.0,20.1,50.8,Burundi,8.4,$5.2,4.2,4.3,$615 ,N/A,14.9,$1.7,35.3,,,,,,,,,,,,,,,
27,Cambodia,Cambodia,Asia-Pacific,95,16,58.5,0.9,30.0,0.0,21.0,0.0,90.9,-0.2,88.4,-1.6,39.4,-1.3,54.2,7.0,81.3,0.6,70.2,5.0,60.0,0.0,50.0,0.0,9.9,20.0,20.0,10.7,19.7,Cambodia,15.1,$33.5,6.1,5.8,"$2,216 ",3.5,5.5,$891.7,28.6,,,,,,,,,,,,,,,
28,Cameroon,Cameroon,Sub-Saharan Africa,133,27,52.3,0.5,30.0,0.0,25.0,3.0,69.3,0.0,87.1,-3.7,46.8,-0.3,55.5,7.4,69.9,-1.0,54.9,0.0,35.0,0.0,50.0,0.0,15.0,38.5,38.5,10.3,20.7,Cameroon,20.9,$47.3,4.1,3.0,"$2,257 ",N/A,2.9,$360.0,12.9,,,,,,,,,,,,,,,
29,Canada,Canada,North America,6,1,79.4,-0.5,90.0,0.0,87.0,-2.0,79.8,0.6,44.8,3.1,91.7,-4.9,82.3,0.5,75.2,-2.1,88.2,0.3,75.0,0.0,80.0,0.0,0.9,29.0,15.0,31.0,42.9,Canada,34.4,"$1,396.1",2.5,1.1,"$40,541 ",7.4,2.9,"$40,931.5",85.0,,,,,,,,,,,,,,,
30,Cape Verde,CapeVerde,Sub-Saharan Africa,65,4,63.7,0.2,70.0,5.0,55.0,4.0,77.9,0.6,65.4,3.6,58.9,-0.1,40.3,-8.2,78.0,-2.5,66.9,0.0,65.0,0.0,60.0,0.0,11.6,35.0,25.0,19.1,33.9,Cape Verde,0.5,$2.1,5.0,5.8,"$3,947 ",10.7,4.5,$93.1,77.6,,,,,,,,,,,,,,,
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,142,31,50.4,0.1,20.0,0.0,22.0,1.0,65.1,-0.1,92.4,-0.5,35.2,-2.1,47.9,-1.2,78.1,3.5,57.8,0.0,55.0,0.0,30.0,0.0,13.6,50.0,30.0,9.3,15.9,Central African Republic,4.7,$3.6,3.1,2.8,$768 ,N/A,0.7,$109.2,40.9,,,,,,,,,,,,,,,
32,Chad,Chad,Sub-Saharan Africa,164,41,45.2,0.4,20.0,0.0,20.0,3.0,50.4,0.2,75.5,1.3,25.2,0.3,40.5,-3.2,74.6,2.1,55.6,0.0,50.0,0.0,40.0,0.0,14.7,60.0,40.0,5.2,28.6,Chad,10.5,$19.5,1.6,2.9,"$1,865 ",N/A,1.9,"$1,855.0",32.2,,,,,,,,,,,,,,,
33,Chile,Chile,South and Central America / Caribbean,7,1,79.0,0.7,90.0,0.0,72.0,0.0,77.6,0.2,83.7,1.6,70.5,1.9,74.2,-0.9,84.6,-1.0,82.0,0.0,85.0,5.0,70.0,0.0,4.0,40.0,18.5,17.3,23.3,Chile,17.4,$299.6,5.9,3.9,"$17,222 ",6.1,3.3,"$17,299.0",9.9,,,,,,,,,,,,,,,
34,China,China,Asia-Pacific,136,29,51.9,0.7,20.0,0.0,36.0,1.0,70.2,-0.2,83.3,-0.8,48.0,1.6,62.6,7.2,71.6,-2.6,72.0,0.4,25.0,0.0,30.0,0.0,4.0,45.0,25.0,18.2,23.6,China,1348.1,"$11,300.0",9.2,10.5,"$8,382 ",6.5,5.4,"$1,23,985.0",25.8,,,,,,,,,,,,,,,
